Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
Africa,,1884,21984,21984
Africa,,1885,36640,36640
Africa,,1886,47632,47632
Africa,,1887,47632,47632
Africa,,1888,80608,80608
Africa,,1889,131904,131904
Africa,,1890,296784,296784
Africa,,1891,296784,296784
Africa,,1892,479984,479984
Africa,,1893,1799024,1799024
Africa,,1894,2432896,2432896
Africa,,1895,3337904,3337904
Africa,,1896,4257568,4257568
Africa,,1897,4777856,4777856
Africa,,1898,6049264,6049264
Africa,,1899,5517984,5517984
Africa,,1900,2330304,2330304
Africa,,1901,3909488,3909488
Africa,,1902,5825760,5825760
Africa,,1903,7895920,7895920
Africa,,1904,8910848,8910848
Africa,,1905,10262864,10262864
Africa,,1906,11717472,11717472
Africa,,1907,12930256,12930256
Africa,,1908,13402912,13402912
Africa,,1909,15385136,15385136
Africa,,1910,17411328,17411328
Africa,,1911,16865392,16865392
Africa,,1912,17953600,17953600
Africa,,1913,19606064,19606064
Africa,,1914,19551104,19551104
Africa,,1915,19606064,19606064
Africa,,1916,23255408,23255408
Africa,,1917,25343888,25343888
Africa,,1918,24724672,24724672
Africa,,1919,25442816,25442816
Africa,,1920,28051584,28051584
Africa,,1921,27985632,27985632
Africa,,1922,23969888,23969888
Africa,,1923,29044528,29044528
Africa,,1924,30631040,30631040
Africa,,1925,32184576,32184576
Africa,,1926,34437936,34437936
Africa,,1927,33840704,33840704
Africa,,1928,34770320,34770320
Africa,,1929,35801616,35801616
Africa,,1930,33695670,33695670
Africa,,1931,29463712,29463712
Africa,,1932,26622752,26622752
Africa,,1933,28491132,28491132
Africa,,1934,32539280,32539280
Africa,,1935,35909544,35909544
Africa,,1936,39015950,39015950
Africa,,1937,41844264,41844264
Africa,,1938,44013164,44013164
Africa,,1939,46852930,46852930
Africa,,1940,49649184,49649184
Africa,,1941,54023456,54023456
Africa,,1942,58822884,58822884
Africa,,1943,60119628,60119628
Africa,,1944,66632910,66632910
Africa,,1945,67527180,67527180
Africa,,1946,68159370,68159370
Africa,,1947,67934744,67934744
